ID_REF,GSM119628,GSM119629,GSM119630,GSM119631,GSM119632,GSM119633,GSM119634,GSM119635,GSM119636,GSM119637,GSM119638,GSM119639,GSM119640,GSM238799,GSM238800,GSM238801,GSM238802,GSM238803,GSM238804,GSM238805,GSM238806,GSM238807,GSM238808
1316_at,76.23311,145.25827,216.59312,78.74393,185.07729,140.50323,156.50587,62.37122,113.18159,104.87582,118.80956,102.71616,79.31744,292.86,841.157,565.558,867.301,1788.91,946.696,1421.35,1103.93,765.236,659.216
1553581_s_at,200.46329,369.7137,373.99924,187.21289,213.36397,158.33696,203.14244,191.44388,231.53297,151.61852,241.85162,295.8895,131.93706,520.199,725.863,643.73,753.052,454.733,1308.98,1187.98,913.271,768.87,951.164
1553677_a_at,446.35434,271.87192,222.92944,244.14867,198.11153,342.28528,170.40936,266.76248,267.90247,276.6891,358.55777,243.4647,194.37224,728.742,589.069,582.908,953.619,995.599,873.078,1310.21,1019.46,731.33,527.801
1555272_at,303.30728,629.69836,294.8749,355.9419,461.64206,267.67926,425.69427,457.7588,324.8486,576.586,294.6505,674.69885,446.27533,73.516,188.213,131.542,164.36,83.5393,179.57,150.756,118.068,99.2538,131.237
1555945_s_at,177.58972,214.18645,620.5705,282.0867,244.3999,313.5619,238.05435,165.58887,303.40027,174.65108,142.3863,136.88982,112.00367,833.142,802.852,1110,1077.2,708.605,1048.49,888.119,1423.12,1032.35,770.572
1557176_a_at,80.45349,76.74808,140.96692,181.21129,67.75496,117.44994,85.06581,50.592564,67.230835,83.4385,79.79749,76.60002,68.13062,189.395,397.959,178.89,221.829,319.849,205.183,296.62,264.783,172.606,210.441
1557545_s_at,283.07092,450.6692,162.19943,252.01416,87.172,87.5692,259.4614,199.57538,165.36392,87.400986,109.65921,294.2384,89.588875,1072.19,713.027,486.886,1059.83,539.375,623.778,1162.02,1589.49,830.701,595.771
1561615_s_at,554.6396,340.8944,269.88913,612.4395,592.1622,537.9043,357.96893,384.2972,522.083,362.50455,387.9096,436.4228,241.7554,1823.49,1485.72,1897.8,1216.47,1088.4,965.34,902.566,1881.01,1218.03,1101.19
1563947_a_at,85.32058,31.785427,69.45459,117.73885,69.589,54.13937,44.248688,113.35354,136.44489,96.11205,73.49211,66.90634,77.3285,346.283,545.013,315.824,337.139,418.429,379.114,333.883,750.177,475.879,384.717
200006_at,7519.5654,5274.3003,5938.2104,8279.996,9686.107,6351.1016,6491.491,10429.549,9424.167,12062.164,12041.815,7314.8936,11720.501,4416.38,3163.66,4019.56,3086.8,2209.74,3682.82,2469.01,2045.23,3151.86,3125.26
200594_x_at,1754.9594,1209.5793,1093.2697,1601.7451,2770.677,1182.513,1289.749,2127.1206,1633.3965,1829.7084,1586.2264,1114.8735,1924.1335,645.153,821.827,756.942,674.292,603.657,593.919,971.498,466.258,858.35,736.828
200598_s_at,179.87178,70.86735,93.256454,78.337074,148.358,152.66824,91.5604,250.46411,217.5573,87.801765,167.13197,105.01893,129.23279,377.522,885.96,919.318,492.659,436.435,446.99,490.985,794.412,576.994,251.897
200616_s_at,207.74043,220.1763,149.6997,412.80182,170.41068,215.32066,243.09265,247.85515,251.75336,255.55261,215.15285,205.95888,182.39159,708.198,840.896,795.721,531.701,704.342,468.571,626.039,1151.24,616.134,431.446
200774_at,1963.834,1908.7162,1096.3015,2211.3977,1922.2382,2150.9758,953.2266,1712.9872,1918.3765,1520.7794,1943.4576,1857.7131,2174.8088,3731.81,2581.06,3227.51,4558.13,4012.86,4210.69,4623.98,4314.03,3512.01,3314.04
200801_x_at,17258.953,19723.953,12086.203,19291.31,15271.52,17931.76,38067.625,19509.326,15659.221,22723.893,30266.441,29741.059,25271.209,3997.39,6665.68,4198.37,6811.78,5510.08,4331.85,4997.01,5366.08,5301.85,5162.41
200811_at,871.173,764.5645,478.3842,1044.6694,2180.1794,1101.1512,736.97455,1456.2034,1464.4011,2007.8422,919.1566,662.5227,900.10925,421.255,368.648,260.311,347.508,224.143,258.695,370.02,179.341,355.077,423.953
200914_x_at,473.61584,286.12918,388.32098,223.99648,391.6047,606.0876,291.8376,271.56775,472.76712,168.68875,206.30515,250.5878,202.059,1315.09,1096.77,1499.53,1493.09,1567.61,1373.91,1918.82,1800.86,1468.3,2211.02
200932_s_at,655.83606,514.06665,408.58234,630.97705,638.72577,700.99414,669.74994,910.0194,659.78577,1043.0369,966.0859,641.8618,928.2073,374.377,282.623,252.063,229.31,290.13,318.829,298.35,284.899,353.399,239.394
201065_s_at,1241.1611,1105.1904,1498.6287,1309.5945,1114.417,1548.5172,1246.1909,1086.2625,1376.6587,1081.6508,972.0347,1242.0037,1088.7458,2889.22,2748.81,3177.04,3901.78,2496.49,2014.84,3097.99,3613.11,3179.97,2650.29
201083_s_at,96.232994,215.57613,197.12852,110.51118,141.78113,97.2554,173.67117,154.5458,195.84355,128.008,47.795677,148.19194,104.7733,416.155,375.118,417.99,506.156,475.381,511.656,541.64,269.005,360.766,296.392
201465_s_at,91.81023,312.48834,359.63846,127.669395,201.3172,178.85693,233.95883,124.894554,202.00932,118.79832,165.42554,128.1798,120.11399,427.66,836.921,606.155,817.151,675.955,789.675,2229.25,746.906,591.042,512.653
201635_s_at,297.25107,209.74864,569.7616,177.169,186.13956,467.32315,652.77277,194.18472,223.80063,144.63637,250.75662,238.15337,124.48915,935.079,1139.05,1148.85,2322.45,3273.64,2958.04,3125.17,3687.43,2525.04,718.116
201918_at,388.37967,593.0719,299.91742,398.87442,334.55243,513.435,170.35365,366.92563,524.1202,258.6287,379.52698,298.96375,218.62523,1013.24,743.445,802.48,1103.85,1488.95,1148.52,993.448,1138.7,895.757,570.738
202021_x_at,3025.7244,1971.0958,2966.2178,3053.6863,3841.1282,3046.5654,3106.709,3061.8123,2782.175,3776.7815,3319.743,3105.8384,3915.3176,1047.97,943.242,1104.61,543.667,959.089,469.748,511.587,436.703,582.392,878.43
202301_s_at,535.0696,284.44522,381.1203,340.13885,324.79816,308.96863,258.86865,434.99512,393.35135,292.4056,257.3195,301.08374,305.0709,913.159,819.685,931.045,933.522,757.269,836.938,1316.73,1390.83,759.189,627.641
202397_at,512.1836,641.31085,341.379,648.82666,501.90588,449.2571,458.6565,467.96628,330.5002,680.7839,748.4913,517.8848,683.5631,262.155,224.309,138.398,218.021,185.156,198.742,243.662,283.723,202.443,207.154
202623_at,504.15665,302.6773,341.0028,525.0817,498.61475,312.5241,320.73917,591.8174,464.63525,605.2912,534.1811,538.5918,549.86676,177.778,203.593,125.132,123.119,142.545,161.797,126.349,112.344,152.005,93.3541
202809_s_at,309.665,572.50806,496.26266,609.8677,316.37567,473.64487,410.88608,223.10294,271.71472,268.76105,241.65993,389.76013,255.80539,160.566,118.566,87.6326,172.549,185.767,134.136,139.52,153.426,143.955,96.8296
202844_s_at,210.29395,298.51834,318.38455,297.18027,132.04251,357.42563,369.90195,329.23157,327.08673,301.7334,326.18283,350.87524,307.22458,544.339,1013.77,1229.16,900.049,1261.27,815.72,1342.94,1038.1,686.434,809.328
203146_s_at,903.4377,945.6586,951.76544,978.88586,1956.8582,1182.7294,578.60034,1270.185,1042.7684,1792.7018,1380.9818,938.64966,1338.8583,562.188,480.105,407.553,442.217,341.753,470.845,332.974,225.871,467.22,258.175
203202_at,292.84296,322.55856,329.79742,288.88843,362.83554,311.79892,96.30943,218.624,412.4581,208.58781,164.72853,281.2614,277.5433,731.451,799.064,625.707,558.638,1009.41,1270.53,1698.09,1286.04,1244.81,857.74
203482_at,364.42288,412.47467,419.85123,447.7043,452.43216,440.31802,398.21976,286.76163,390.8867,236.34941,280.0114,372.1783,255.32536,116.107,116.523,149.786,156.789,243.13,111.702,190.407,96.8711,118.904,131.074
203753_at,2065.7344,3267.3953,2413.452,2366.37,750.1509,1704.3263,3083.9885,1629.4349,2132.6855,1887.2415,1841.3452,2500.9548,1678.7137,4992.46,5840.92,4184.35,5661.8,5529.15,5052.18,4724.12,9210.94,6746.41,3983.17
204106_at,338.27084,404.21588,517.18225,363.057,373.55185,397.22156,388.4318,243.70439,312.31223,364.5687,384.77283,279.83676,347.0062,604.193,503.752,720.638,835.553,693.581,662.334,586.163,759.708,567.944,854.535
204184_s_at,523.36566,502.99075,288.80347,362.35046,163.6094,244.89014,214.52518,327.10394,368.40732,477.25632,370.77048,369.0071,314.1504,2057.6,1821.62,1768.71,1568.92,988.683,2313.76,1146.79,2869.98,2053.9,933.475
204372_s_at,284.19897,348.96912,377.1577,224.55733,303.4646,306.94446,309.80118,162.8876,228.63025,159.3992,207.21066,314.28546,295.0793,590.091,769.2,593.573,867.254,989.476,911.877,974.884,1135.28,879.361,783.218
204716_at,96.58913,230.64293,268.4071,171.29727,273.5982,229.22675,177.09865,284.77017,201.63402,175.18365,233.22595,133.39742,189.21953,464.453,377.425,729.071,746.71,959.868,935.686,1180.7,771.021,555.78,490.348
205353_s_at,4215.72,3402.4807,2643.0864,4904.362,4679.9243,4429.511,3094.2378,5369.539,4461.311,4582.009,4072.5632,3378.8948,4768.4233,1766.17,2299.99,1872.39,2121.96,1039.5,1451.31,1392.53,1240.09,1512.64,1431.39
205463_s_at,814.88324,496.21207,613.362,829.1694,605.40234,830.92755,842.09436,1163.4097,722.214,2075.9617,1543.506,895.8833,1395.9458,180.502,465.668,244.042,258.722,306.61,213.974,163.737,231.334,287.013,449.233
205596_s_at,322.4933,306.3029,618.0583,218.00404,314.50113,225.06563,451.60394,114.53903,269.50668,142.21895,240.47148,302.8289,165.99646,503.993,654.038,963.354,730.524,851.754,1268.67,804.692,1434.71,894.02,1163.57
205871_at,90.928024,86.2527,286.5308,72.15523,96.00156,333.0534,283.06766,77.61667,129.33983,59.890995,42.065628,62.601124,66.27256,422.327,534.553,454.432,318.12,960.077,692.826,603.878,869.966,598.004,579.158
206374_at,252.94226,239.74356,668.6884,415.4946,252.86267,422.99518,425.34634,199.21602,269.9352,174.74907,202.64932,447.11713,219.90338,1037.19,832.336,790.01,839.65,1040.39,1093.6,1260.13,1503.8,840.886,1179.75
207002_s_at,160.56622,78.44977,87.634384,102.78108,78.010864,116.57955,75.32668,99.31087,112.04947,54.803474,66.86964,82.93744,61.244774,278.558,215.003,294.86,296.711,161.124,327.441,342.086,442.926,413.474,197.845
207702_s_at,133.88904,16.274555,60.674072,44.942932,72.664154,107.82057,74.03961,74.056015,66.6353,12.235636,100.96525,99.907715,46.853268,224.157,557.89,344.116,262.116,421.961,955.163,391.557,933.591,716.504,505.281
207966_s_at,539.5434,769.13763,736.1833,626.0561,599.5838,905.77454,736.6244,730.85266,575.22974,655.4224,832.0365,636.5711,739.1827,1957.82,1656.73,1216.38,2095.06,2128.55,2267.55,2759.95,2097.47,2493.24,2086.67
208003_s_at,151.02968,129.3514,163.65662,184.70714,71.75599,152.39526,316.8212,105.82655,121.808426,73.16628,104.40257,156.17793,68.16206,360.933,663.974,628.82,745.133,1100.4,736.831,860.054,799.158,563.616,630.227
208113_x_at,929.2016,816.33954,1251.4071,884.9554,1662.131,804.476,960.48914,1083.4376,1343.5917,974.3373,969.3987,735.76404,1060.5067,2303.36,2061.54,2262.95,2187,2085.98,2089.37,3134.56,1924.66,1686.04,2982.84
